no,Moisture_value,Class
1415,1024,Dry
1416,1024,Dry
1417,1024,Dry
1418,1024,Dry
1419,1024,Dry
1420,1024,Dry
1421,1024,Dry
1422,1024,Dry
1423,1024,Dry
1424,1024,Dry
1425,1024,Dry
1426,1024,Dry
1427,1024,Dry
1428,1024,Dry
1429,1024,Dry
1430,1024,Dry
1431,1024,Dry
1432,1024,Dry
1433,1024,Dry
1434,725,Adequate
1435,720,Adequate
1436,716,Adequate
1437,710,Adequate
1438,710,Adequate
1439,716,Adequate
1440,708,Adequate
1441,705,Adequate
1442,703,Adequate
1443,702,Adequate
1444,706,Adequate
1445,705,Adequate
1446,703,Adequate
1447,702,Adequate
1448,702,Adequate
1449,702,Adequate
1450,701,Adequate
1451,699,Adequate
1452,697,Adequate
1453,696,Adequate
1454,697,Adequate
1455,696,Adequate
1456,694,Adequate
1457,696,Adequate
1458,696,Adequate
1459,694,Adequate
1460,694,Adequate
1461,694,Adequate
1462,694,Adequate
1463,694,Adequate
1464,694,Adequate
1465,694,Adequate
1466,696,Adequate
1467,696,Adequate
1468,694,Adequate
1469,697,Adequate
1470,696,Adequate
1471,697,Adequate
1472,697,Adequate
1473,697,Adequate
1474,697,Adequate
1475,700,Adequate
1476,701,Adequate
1477,700,Adequate
1478,700,Adequate
1479,697,Adequate
1480,696,Adequate
1481,696,Adequate
1482,693,Adequate
1483,693,Adequate
1484,694,Adequate
1485,696,Adequate
1486,694,Adequate
1487,694,Adequate
1488,694,Adequate
1489,696,Adequate
1490,693,Adequate
1491,692,Adequate
1492,692,Adequate
1493,693,Adequate
1494,694,Adequate
1495,694,Adequate
1496,682,Adequate
1497,685,Adequate
1498,682,Adequate
1499,684,Adequate
1500,684,Adequate
1501,682,Adequate
1502,681,Adequate
1503,681,Adequate
1504,681,Adequate
1505,682,Adequate
1506,677,Adequate
1507,675,Adequate
1508,675,Adequate
1509,674,Adequate
1510,674,Adequate
1511,674,Adequate
1512,674,Adequate
1513,674,Adequate
1514,673,Adequate
1515,673,Adequate
1516,673,Adequate
1517,673,Adequate
1518,672,Adequate
1519,672,Adequate
1520,672,Adequate
1521,673,Adequate
1522,673,Adequate
1523,672,Adequate
1524,672,Adequate
1525,672,Adequate
1526,672,Adequate
1527,672,Adequate
1528,672,Adequate
1529,670,Adequate
1530,670,Adequate
1531,669,Adequate
1532,669,Adequate
1533,668,Adequate
1534,668,Adequate
1535,667,Adequate
1536,667,Adequate
1537,667,Adequate
1538,666,Adequate
1539,666,Adequate
1540,666,Adequate
1541,666,Adequate
1542,666,Adequate
1543,665,Adequate
1544,665,Adequate
1545,663,Adequate
1546,664,Adequate
1547,664,Adequate
1548,664,Adequate
1549,663,Adequate
1550,664,Adequate
1551,663,Adequate
1552,663,Adequate
1553,557,Adequate
1554,573,Adequate
1555,570,Adequate
1556,568,Adequate
1557,567,Adequate
