Moisture_value,PH,Temperature,Class
537,6.41,22.4,1
785,6.74,22.5,1
783,6.79,22.5,1
700,6.66,22.5,1
497,6.82,22.5,1
508,6.89,22.5,1
511,6.84,22.4,1
513,6.88,22.5,1
549,6.13,22.4,1
1024,6.79,22.5,1
794,6.58,22.4,1
818,6.93,22.5,1
818,6.86,22.5,1
818,6.78,22.4,1
820,6.48,22.4,1
820,6.95,22.4,1
820,6.79,22.4,1
821,6.64,22.5,1
821,6.71,22.5,1
821,6.57,22.4,1
821,6.85,22.4,1
821,6.57,22.4,1
821,6.58,22.4,1
822,6.56,22.4,1
821,6.37,22.4,1
822,6.64,22.4,1
822,6.39,22.4,1
822,6.43,22.4,1
822,6.9,22.4,1
822,7.01,22.4,1
822,6.75,22.4,1
822,6.6,22.4,1
822,6.81,22.5,1
1024,6.87,22.5,1
1024,6.97,22.4,1
834,6.96,22.4,1
1024,6.68,22.5,1
214,6.3,22.4,1
249,6.63,22.4,1
268,6.67,22.4,1
328,6.88,22.4,1
267,6.75,22.4,1
292,6.78,22.4,1
850,6.73,22.4,1
846,7.01,22.5,1
842,6.78,22.4,1
841,6.61,22.4,1
840,7.08,22.4,1
838,6.55,22.4,1
500,6.57,22.4,1
834,6.66,22.4,1
317,7,22.4,1
288,6.9,22.4,1
300,6.75,22.4,1
313,6.92,22.4,1
267,6.79,22.4,1
339,6.81,22.4,1
456,6.68,22.5,1
249,6.7,22.4,1
290,6.99,22.4,1
317,6.48,22.4,1
278,6.73,22.4,1
308,6.36,22.4,1
315,6.44,22.4,1
267,6.99,22.4,1
392,6.92,22.4,1
261,6.6,22.4,1
280,6.67,22.4,1
301,6.65,22.4,1
325,6.69,22.4,1
332,6.91,22.4,1
306,6.84,22.5,1
315,6.87,22.5,1
329,6.73,22.4,1
334,6.45,22.4,1
331,6.84,22.4,1
334,6.96,22.4,1
272,7,22.4,1
266,6.6,22.4,1
256,6.7,22.4,1
257,6.83,22.4,1
247,6.72,22.4,1
397,6.8,22.4,1
337,6.07,22.4,1
340,6.6,22.4,1
312,6.46,22.4,1
310,6.82,22.5,1
310,6.88,22.4,1
315,6.81,22.4,1
313,6.74,22.4,1
339,6.7,22.4,1
